clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
T_cells,Itk,0.01884792097092221,1.0,1.0
T_cells,Tcf7,0.01575314424154676,1.0,1.0
T_cells,Il7r,0.016371994698121405,3.0,0.9814814814814814
T_cells,Cd3g,0.030744092068622633,4.0,0.9583333333333334
T_cells,Trbc2,0.031016158774543473,5.0,0.9555555555555555
T_cells,Cd3e,0.027659129724024317,2.0,0.9444444444444444
T_cells,Cd3d,0.027258186488281485,3.0,0.9444444444444444
T_cells,Bcl11b,0.020996462682281652,1.0,0.9444444444444444
T_cells,Skap1,0.017429909746443203,1.0,0.9444444444444444
T_cells,Trac,0.016889519810014502,1.0,0.9444444444444444
T_cells,Itk,0.01884792097092221,1.0,1.0
T_cells,Tcf7,0.01575314424154676,1.0,1.0
T_cells,Il7r,0.016371994698121405,3.0,0.9814814814814814
T_cells,Cd3g,0.030744092068622633,4.0,0.9583333333333334
T_cells,Trbc2,0.031016158774543473,5.0,0.9555555555555555
T_cells,Cd3e,0.027659129724024317,2.0,0.9444444444444444
T_cells,Cd3d,0.027258186488281485,3.0,0.9444444444444444
T_cells,Bcl11b,0.020996462682281652,1.0,0.9444444444444444
T_cells,Skap1,0.017429909746443203,1.0,0.9444444444444444
T_cells,Trac,0.016889519810014502,1.0,0.9444444444444444
Neutrophils,S100a9,0.047887330568739256,236.0,1.0
Neutrophils,Mmp9,0.03368478272141608,3.0,1.0
Neutrophils,Csf3r,0.029553717599492754,6.0,1.0
Neutrophils,Cxcr2,0.027783361113280974,4.0,1.0
Neutrophils,Retnlg,0.024260533794597198,17.0,1.0
Neutrophils,Il1r2,0.023372425273065746,3.0,1.0
Neutrophils,Clec4d,0.01629938993939618,3.0,1.0
Neutrophils,S100a8,0.04414763803133526,181.5,0.9996939087848179
Neutrophils,Mxd1,0.0218078147801729,6.0,0.9953703703703705
Neutrophils,Il1b,0.013925894297227766,35.0,0.9920634920634921
DC,Ccl17,0.017089512746722883,1.0,1.0
DC,Pmaip1,0.013761232345794445,2.0,1.0
DC,Tbc1d4,0.012825938178561438,2.0,1.0
DC,Wdfy4,0.013848558988582577,3.0,0.9814814814814815
DC,Slamf7,0.011846313863732789,2.0,0.9722222222222222
DC,Plbd1,0.011950929544250281,6.0,0.9629629629629629
DC,H2-Ab1,0.01664633630718855,124.0,0.9601254480286738
DC,Cst3,0.02849597254930424,206.5,0.9577616357277375
DC,H2-Eb1,0.01593764143240526,104.0,0.9503205128205128
DC,H2-DMa,0.013234866742960157,12.5,0.9466666666666667
NK_cells,Gzma,0.0485125103734728,49.5,1.0
NK_cells,Prf1,0.03708169143475131,4.0,1.0
NK_cells,Klre1,0.031297253833153266,3.0,1.0
NK_cells,Ncr1,0.029811161093501244,2.0,1.0
NK_cells,Klrb1c,0.02774319682507741,2.0,1.0
NK_cells,Cma1,0.021651327125750044,1.0,1.0
NK_cells,Klra9,0.020674884844345442,1.0,1.0
NK_cells,Klra8,0.015201262760773953,0.5,1.0
NK_cells,Klrk1,0.01345166726567551,3.0,1.0
NK_cells,Nkg7,0.019571340546921893,13.0,0.97008547008547
B_cells,Cd79a,0.04243572033115596,10.0,1.0
B_cells,Ms4a1,0.03849603504249251,3.0,1.0
B_cells,Cd79b,0.029969537567758758,4.0,1.0
B_cells,Iglc3,0.027744218211747253,2.0,1.0
B_cells,Ly6d,0.02685177080085461,6.0,1.0
B_cells,Fcmr,0.023944567840339954,2.0,1.0
B_cells,Ighd,0.023545382163979032,2.0,1.0
B_cells,Iglc2,0.023081006653034867,2.0,1.0
B_cells,Bank1,0.021800009741294916,2.0,1.0
B_cells,Gm31243,0.017718801459783263,1.0,1.0
NK_cells,Gzma,0.0485125103734728,49.5,1.0
NK_cells,Prf1,0.03708169143475131,4.0,1.0
NK_cells,Klre1,0.031297253833153266,3.0,1.0
NK_cells,Ncr1,0.029811161093501244,2.0,1.0
NK_cells,Klrb1c,0.02774319682507741,2.0,1.0
NK_cells,Cma1,0.021651327125750044,1.0,1.0
NK_cells,Klra9,0.020674884844345442,1.0,1.0
NK_cells,Klra8,0.015201262760773953,0.5,1.0
